gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,tenure_group,monthly_tenure_ratio,total_services,has_security_bundle,has_support,has_streaming_bundle,is_new_customer,is_high_value,contract_risk,avg_monthly_spend,Churn
Male,No,Yes,No,36,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.4,3474.2,25-48,2.5783783783783787,5,0,0,1,0,1,2,93.89729729729729,0
Female,No,Yes,Yes,55,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),69.05,3842.6,49-72,1.2330357142857142,2,0,0,0,0,0,0,68.61785714285715,0
Female,No,No,No,31,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),84.75,2613.4,25-48,2.6484375,5,0,0,0,0,1,2,81.66875,0
Female,Yes,Yes,Yes,28,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,35.9,973.65,25-48,1.2379310344827585,2,0,0,0,0,0,2,33.574137931034485,0
Male,No,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,13-24,1.1147058823529412,1,0,0,0,0,0,0,19.223529411764705,0
Male,No,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.15,130.5,0-12,2.8785714285714286,1,0,0,0,1,0,2,18.642857142857142,0
Male,Yes,Yes,No,27,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,85.9,2220.1,25-48,3.067857142857143,5,0,0,0,0,1,1,79.28928571428571,0
Male,No,No,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.3,1474.35,49-72,0.4288135593220339,2,0,0,0,0,0,0,24.988983050847455,0
Male,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),104.9,7732.65,49-72,1.4369863013698632,8,1,1,0,0,1,0,105.92671232876712,0
Female,No,No,No,28,No,No phone service,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,35.75,961.4,25-48,1.2327586206896552,3,0,1,0,0,0,2,33.15172413793103,0
Male,No,Yes,Yes,40,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,85.05,3355.65,25-48,2.074390243902439,4,0,0,0,0,1,1,81.84512195121951,0
Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.5,20.5,0-12,10.25,1,0,0,0,1,0,2,10.25,1
Female,No,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.0,412.5,0-12,13.333333333333334,3,0,0,0,1,1,2,68.75,1
Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.2,69.2,0-12,34.6,2,0,0,0,1,0,2,34.6,1
Female,No,No,Yes,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.3,1275.65,0-12,8.1,7,0,0,1,0,1,2,98.12692307692308,0
Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,96.1,453.4,0-12,16.016666666666666,5,0,1,1,1,1,2,75.56666666666666,1
Male,No,Yes,No,71,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),86.1,6045.9,49-72,1.1958333333333333,8,1,1,1,0,1,0,83.97083333333333,0
Male,No,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.95,228.4,0-12,19.2375,3,0,0,0,1,1,2,57.1,1
Female,No,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.65,655.85,25-48,0.6338709677419354,1,0,0,0,0,0,2,21.156451612903226,1
Female,No,Yes,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.2,507.9,25-48,0.7769230769230769,1,0,0,0,0,0,1,19.534615384615385,0
Male,No,Yes,Yes,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.55,1331.05,49-72,0.46320754716981133,2,0,0,0,0,0,0,25.114150943396226,0
Female,Yes,No,No,46,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,110.0,4874.8,25-48,2.3404255319148937,8,1,0,1,0,1,1,103.71914893617021,1
Male,No,No,No,9,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.5,597.9,0-12,7.05,2,0,0,0,0,1,2,59.79,0
Female,No,Yes,No,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.85,1564.4,13-24,4.342499999999999,4,0,0,0,0,1,2,78.22,0
Female,No,No,No,12,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,49.4,611.65,0-12,3.8,3,0,0,0,0,0,2,47.05,0
Male,Yes,Yes,No,45,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),98.7,4525.8,25-48,2.1456521739130436,7,0,1,0,0,1,1,98.38695652173914,0
Female,No,Yes,Yes,36,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.5,3684.95,25-48,2.824324324324324,7,0,0,1,0,1,2,99.59324324324324,0
Male,No,No,No,38,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),95.1,3691.2,25-48,2.4384615384615382,6,0,0,0,0,1,2,94.64615384615384,0
Male,No,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.2,19.2,0-12,9.6,1,0,0,0,1,0,2,9.6,0
Male,No,Yes,No,10,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,1037.75,0-12,8.954545454545455,6,0,0,1,0,1,2,94.3409090909091,1
Male,No,Yes,Yes,13,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),44.8,559.2,13-24,3.1999999999999997,2,0,0,0,0,0,2,39.94285714285714,0
Male,No,No,No,18,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),82.0,1425.45,13-24,4.315789473684211,7,0,1,1,0,1,1,75.02368421052631,1
Female,No,Yes,No,37,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Electronic check,45.4,1593.1,25-48,1.194736842105263,4,0,1,0,0,0,0,41.92368421052631,0
Male,No,No,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.35,122.0,0-12,3.391666666666667,1,0,0,0,1,0,2,20.333333333333332,0
Male,No,No,No,11,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,74.95,815.5,0-12,6.245833333333334,3,0,0,0,0,1,2,67.95833333333333,1
Male,No,No,Yes,64,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.15,6171.2,49-72,1.5253846153846156,6,0,1,1,0,1,2,94.94153846153846,0
Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,55.55,55.55,0-12,27.775,3,0,0,0,1,0,2,27.775,0
Male,Yes,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.5,3473.4,25-48,2.4342105263157894,5,0,0,1,0,1,2,91.40526315789474,1
Female,No,Yes,Yes,48,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),105.25,4997.5,25-48,2.1479591836734695,7,1,0,1,0,1,2,101.98979591836735,0
Male,Yes,Yes,No,20,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.55,1899.65,13-24,4.502380952380952,5,0,0,1,0,1,2,90.45952380952382,1
Female,No,No,No,26,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),69.5,1800.05,25-48,2.574074074074074,6,1,0,0,0,0,2,66.66851851851851,0
Female,No,No,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,578.5,25-48,0.6258064516129032,1,0,0,0,0,0,0,18.661290322580644,0
Female,No,No,No,69,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Mailed check,66.9,4577.9,49-72,0.9557142857142858,6,1,1,0,0,0,0,65.39857142857143,0
Male,No,Yes,Yes,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),89.4,5597.65,49-72,1.396875,9,1,1,1,0,1,0,87.46328125,0
Male,No,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.35,126.05,0-12,3.225,1,0,0,0,1,0,2,21.008333333333333,1
Male,No,Yes,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.45,790.0,25-48,0.51125,1,0,0,0,0,0,0,19.75,0
Male,No,No,Yes,4,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.7,364.55,0-12,20.34,6,0,0,1,1,1,2,72.91,1
Male,No,Yes,No,60,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),101.15,6067.4,49-72,1.6581967213114754,6,0,0,1,0,1,0,99.4655737704918,0
Male,No,Yes,Yes,19,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,103.3,2012.7,13-24,5.165,7,0,1,1,0,1,2,100.635,1
Female,No,Yes,No,11,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.0,1145.35,0-12,8.5,6,0,0,1,0,1,2,95.44583333333333,1
Female,Yes,No,No,31,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.95,3186.65,25-48,3.1234375,6,0,0,1,0,1,2,99.5828125,1
Male,No,No,No,30,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),84.3,2438.6,25-48,2.7193548387096773,5,1,0,0,0,1,2,78.66451612903225,0
Male,No,No,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.6,1279.0,49-72,0.4555555555555556,2,0,0,0,0,0,0,23.685185185185187,0
Female,No,No,No,5,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,89.35,461.7,0-12,14.891666666666666,5,0,1,0,1,1,2,76.95,1
Male,Yes,No,No,51,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),79.6,3974.7,49-72,1.5307692307692307,4,0,0,0,0,1,1,76.43653846153846,0
Female,No,Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.3,6388.65,49-72,1.2402777777777778,9,1,1,1,0,1,0,88.73124999999999,0
Female,No,No,Yes,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.0,1498.35,49-72,0.4032258064516129,2,0,0,0,0,0,0,24.166935483870965,0
Male,Yes,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,606.55,0-12,8.277777777777779,3,0,0,0,0,1,2,67.39444444444445,1
Male,No,Yes,No,10,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),54.95,568.85,0-12,4.995454545454546,4,0,1,0,0,0,2,51.71363636363637,0
Female,No,Yes,No,12,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),49.85,617.15,0-12,3.8346153846153848,4,0,0,1,0,0,2,47.473076923076924,0
Male,No,Yes,No,66,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,63.85,4264.6,49-72,0.9529850746268657,5,0,1,0,0,0,2,63.650746268656725,0
Male,No,No,No,24,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),60.45,1440.75,13-24,2.418,5,1,1,0,0,0,2,57.63,0
Female,No,Yes,Yes,4,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,56.5,235.1,0-12,11.3,4,0,1,0,1,0,2,47.019999999999996,1
Female,No,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,88.95,355.2,0-12,17.79,5,0,0,0,1,1,2,71.03999999999999,1
Female,No,No,Yes,35,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Credit card (automatic),55.6,2016.45,25-48,1.5444444444444445,4,1,0,0,0,0,1,56.0125,0
Female,Yes,No,No,45,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),85.7,3778.1,25-48,1.8630434782608696,5,1,1,0,0,1,2,82.13260869565217,0
Male,No,No,No,65,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),110.0,7138.65,49-72,1.6666666666666667,8,0,1,1,0,1,1,108.16136363636363,0
Female,No,Yes,Yes,14,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.9,1152.8,13-24,5.3933333333333335,3,0,0,0,0,1,2,76.85333333333332,0
Female,No,Yes,Yes,61,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),50.7,3088.75,49-72,0.817741935483871,5,1,1,0,0,0,1,49.818548387096776,0
Male,No,Yes,Yes,68,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Credit card (automatic),80.35,5375.15,49-72,1.1644927536231884,4,0,0,0,0,1,0,77.90072463768115,0
Female,No,Yes,Yes,23,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,57.75,1282.85,13-24,2.40625,5,1,1,0,0,0,1,53.45208333333333,0
Female,No,No,No,55,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,81.55,4509.5,49-72,1.45625,4,0,0,0,0,1,2,80.52678571428571,0
Male,No,Yes,Yes,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.45,1718.2,49-72,0.34928571428571425,2,0,0,0,0,0,0,24.545714285714286,0
Female,No,Yes,No,7,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),81.25,580.1,0-12,10.15625,7,0,1,1,0,1,2,72.5125,0
Female,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),79.05,5730.7,49-72,1.082876712328767,4,0,0,0,0,1,0,78.5027397260274,0
Female,No,Yes,Yes,61,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),49.7,2961.4,49-72,0.8016129032258065,3,0,0,0,0,0,1,47.76451612903226,0
Male,Yes,Yes,No,64,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),80.3,5017.7,49-72,1.2353846153846153,4,0,0,0,0,1,1,77.19538461538461,0
Female,Yes,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.2,2931.0,25-48,2.824242424242424,5,0,0,1,0,1,2,88.81818181818181,1
Female,No,No,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.55,79.55,0-12,39.775,4,0,0,0,1,1,2,39.775,1
Male,No,No,No,3,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,82.3,214.4,0-12,20.575,4,0,1,0,1,1,2,53.6,0
Male,No,No,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,50.6,0-12,5.05,1,0,0,0,1,0,2,12.65,0
Female,No,Yes,No,72,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),84.4,6096.45,49-72,1.156164383561644,8,0,1,1,0,1,0,83.51301369863013,0
Female,No,No,Yes,26,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,29.8,786.5,25-48,1.1037037037037036,2,0,0,0,0,0,2,29.12962962962963,0
Male,No,No,No,39,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,100.45,3801.7,25-48,2.51125,6,0,0,1,0,1,0,95.04249999999999,0
Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.55,19.55,0-12,9.775,1,0,0,0,1,0,2,9.775,0
Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.5,19.5,0-12,9.75,1,0,0,0,1,0,2,9.75,0
Female,No,Yes,Yes,56,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),88.9,4968.0,49-72,1.5596491228070177,4,0,0,1,0,1,1,87.15789473684211,0
Female,Yes,Yes,No,43,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,107.55,4533.9,25-48,2.444318181818182,7,0,1,1,0,1,1,103.04318181818181,1
Female,No,No,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,25.4,25.4,0-12,12.7,2,0,0,0,1,0,2,12.7,0
Male,No,No,No,29,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),70.9,1964.6,25-48,2.3633333333333337,6,0,0,0,0,1,1,65.48666666666666,0
Male,No,No,No,2,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,82.0,184.65,0-12,27.333333333333332,4,0,0,0,1,1,2,61.550000000000004,1
Male,No,No,No,68,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Credit card (automatic),79.6,5461.45,49-72,1.153623188405797,4,0,0,0,0,1,1,79.15144927536231,0
Male,No,Yes,Yes,67,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),89.55,6373.1,49-72,1.3169117647058823,5,0,0,0,0,1,2,93.72205882352942,0
Female,No,Yes,Yes,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.9,467.7,13-24,1.2449999999999999,2,0,0,0,0,0,0,23.384999999999998,0
Male,No,Yes,Yes,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),56.75,3708.4,49-72,0.8470149253731343,5,0,0,1,0,0,0,55.34925373134328,0
Female,No,Yes,No,4,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,29.05,129.6,0-12,5.8100000000000005,2,0,0,0,1,0,2,25.919999999999998,0
Female,No,Yes,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.75,210.65,0-12,1.975,1,0,0,0,0,0,0,21.065,0
Male,Yes,Yes,No,53,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.85,5485.5,49-72,1.923148148148148,7,0,0,1,0,1,2,101.58333333333333,1
Female,No,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.5,470.2,13-24,0.8125,1,0,0,0,0,0,2,19.591666666666665,0
Female,No,Yes,No,50,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,108.55,5610.7,49-72,2.1284313725490196,8,1,1,1,0,1,1,110.01372549019608,1
Male,No,No,No,2,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,74.95,151.75,0-12,24.983333333333334,3,0,0,0,1,1,2,50.583333333333336,0
Female,No,Yes,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.35,1267.0,49-72,0.33916666666666667,1,0,0,0,0,0,1,21.116666666666667,0
Male,No,Yes,Yes,63,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),83.5,5435.0,49-72,1.3046875,8,1,0,1,0,1,0,84.921875,0
Female,No,Yes,No,25,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,71.05,1837.7,25-48,2.7326923076923078,6,1,1,0,0,1,2,70.68076923076923,0
Female,No,No,No,14,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,80.45,1072.0,13-24,5.363333333333333,4,0,0,0,0,1,2,71.46666666666667,1
Male,No,Yes,No,65,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,No,Credit card (automatic),67.05,4309.55,49-72,1.0159090909090909,6,1,0,0,0,0,1,65.29621212121212,0
Male,Yes,Yes,No,69,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Two year,No,Credit card (automatic),56.55,3952.65,49-72,0.8078571428571428,5,1,0,1,0,0,0,56.46642857142857,0
Female,No,Yes,Yes,21,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.05,1565.7,13-24,3.3659090909090907,3,0,0,0,0,1,2,71.16818181818182,1
Male,No,Yes,Yes,43,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),91.25,4013.8,25-48,2.0738636363636362,6,0,1,0,0,1,1,91.22272727272728,0
Male,Yes,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,92.0,6585.2,49-72,1.2777777777777777,7,1,1,0,0,1,1,91.46111111111111,0
Male,No,No,Yes,19,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),25.35,566.1,13-24,1.2675,1,0,0,0,0,0,2,28.305,0
Female,No,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.65,830.25,25-48,0.4792682926829268,1,0,0,0,0,0,0,20.25,0
Female,No,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,83.3,803.3,0-12,8.33,4,0,0,0,0,1,2,80.33,1
Male,No,No,No,58,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),103.25,6017.65,49-72,1.75,7,0,0,1,0,1,1,101.99406779661017,1
Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.9,19.9,0-12,9.95,1,0,0,0,1,0,2,9.95,0
Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),113.45,5317.8,25-48,2.363541666666667,9,1,1,1,0,1,1,110.78750000000001,0
